official_pinyin,official_Chinese,official_translation,Institution 1,Institution 2,Institution 3
huang di,皇帝,Emperor,皇族宮廷類,帝后門,
tai huang tai hou,太皇太后,Grand Empress Dowager,皇族宮廷類,帝后門,
cai ren,才人,Lady of Talents,皇族宮廷類,帝后門,內命婦
chen fei,宸妃,Chamber Consort,皇族宮廷類,帝后門,內命婦
chong fei,充妃,Consort of Fulfillment ,皇族宮廷類,帝后門,內命婦
de fei,德妃,Virtuous Consort,皇族宮廷類,帝后門,內命婦
de pin,德嬪,Virtuous Concubine,皇族宮廷類,帝后門,內命婦
ding fei,定妃,Consort of Serenity,皇族宮廷類,帝后門,內命婦
gong fei,恭妃,Reverent Consort,皇族宮廷類,帝后門,內命婦
gui fei,貴妃,Honored Consort,皇族宮廷類,帝后門,內命婦
gui ren,貴人,,皇族宮廷類,帝后門,內命婦
he pin,和嬪,,皇族宮廷類,帝后門,內命婦
huang fei,皇妃,Imperial Consort,皇族宮廷類,帝后門,內命婦
huang gui fei,皇貴妃,Imperial Honored Consort,皇族宮廷類,帝后門,內命婦
huang hou,皇后,Empress,皇族宮廷類,帝后門,內命婦
hui fei,惠妃,Gracious Consort,皇族宮廷類,帝后門,內命婦
hui pin,惠嬪,,皇族宮廷類,帝后門,內命婦
jie yu,婕妤,,皇族宮廷類,帝后門,內命婦
jing fei,敬妃,,皇族宮廷類,帝后門,內命婦
kang fei,康妃,Healthy Consort,皇族宮廷類,帝后門,內命婦
kang pin,康嬪,Healthy Concubine,皇族宮廷類,帝后門,內命婦
li fei,麗妃,Elegant Consort,皇族宮廷類,帝后門,內命婦
li pin,麗嬪,,皇族宮廷類,帝后門,內命婦
mei ren,美人,,皇族宮廷類,帝后門,內命婦
ning fei,寧妃,Restful Consort,皇族宮廷類,帝后門,內命婦
shu fei,淑妃,Pure Consort,皇族宮廷類,帝后門,內命婦
shun fei,順妃,Complaisant Consort,皇族宮廷類,帝后門,內命婦
xi pin,僖嬪,,皇族宮廷類,帝后門,內命婦
xian fei,賢妃,Worthy Consort,皇族宮廷類,帝后門,內命婦
zhao fei,昭妃,Bright Consort,皇族宮廷類,帝后門,內命婦
zhao rong,昭容,Lady of Bright Countenance,皇族宮廷類,帝后門,內命婦
zhao yi,昭儀,,皇族宮廷類,帝后門,內命婦
zhuang fei,莊妃,Sedate Consort,皇族宮廷類,帝后門,內命婦
zhuang pin,莊嬪,,皇族宮廷類,帝后門,內命婦
guang lu si cheng,光祿寺丞,Assisant Minister of the Court of Imperial Entertainment,中央行政官署類,寺監門,光祿寺
guang lu si qing,光祿寺卿,Chief Minister of the Court of Imperial Entertainment,中央行政官署類,寺監門,光祿寺
guang lu si shao qing,光祿寺少卿,Vice Minister of the Court of Imperial Entertainment,中央行政官署類,寺監門,光祿寺
guang lu si shu cheng,光祿寺寺丞,Acting Assistant Minister of the Court of Imperial Entertainment,中央行政官署類,寺監門,光祿寺
guang lu si dian bu,光祿寺典簿,,中央行政官署類,寺監門,光祿寺
guang lu si lu shi ,監事,,中央行政官署類,寺監門,光祿寺
guang lu si da guan shu shu zheng,光祿寺大官署署正,,中央行政官署類,寺監門,光祿寺
guang lu si da guan shu jian shi,光祿寺大官署監事,,中央行政官署類,寺監門,光祿寺
guang lu si da guan shu shu cheng,光祿寺大官署署丞,,中央行政官署類,寺監門,光祿寺
guang lu si zhen xiu shu shu zheng,光祿寺珍羞署署正,,中央行政官署類,寺監門,光祿寺
guang lu si zhen xiu shu jian shi,光祿寺珍羞署監事,,中央行政官署類,寺監門,光祿寺
guang lu si zhen xiu shu shu cheng,光祿寺珍羞署署丞,,中央行政官署類,寺監門,光祿寺
guang lu si liang yun shu shu zheng,光祿寺良醞署署正,,中央行政官署類,寺監門,光祿寺
guang lu si liang yun shu jian shi,光祿寺良醞署監事,,中央行政官署類,寺監門,光祿寺
guang lu si liang yun shu shu zheng,光祿寺良醞署署丞,,中央行政官署類,寺監門,光祿寺
guang lu si zhang yun shu shu zheng,光祿寺掌醢署署正,,中央行政官署類,寺監門,光祿寺
guang lu si zhang yun shu jian shi,光祿寺掌醢署監事,,中央行政官署類,寺監門,光祿寺
guang lu si zhang yun shu shu cheng,光祿寺掌醢署署丞,,中央行政官署類,寺監門,光祿寺
guang lu si si sheng si da shi,光祿寺司牲司大使,,中央行政官署類,寺監門,光祿寺
guang lu si si sheng si fu shi,光祿寺司牲司副使,,中央行政官署類,寺監門,光祿寺
guang lu si si sheng mu si da shi ,光祿寺司牧局大使,,中央行政官署類,寺監門,光祿寺
guang lu si yin ku da shi,光祿寺銀庫大使,,中央行政官署類,寺監門,光祿寺
guo zi bo shi,國子博士,Erudite of the Directorate of Education,中央行政官署類,寺監門,國子監 
guo zi ji jiu,國子祭酒,Chancellor of the Directorate of Education,中央行政官署類,寺監門,國子監 
guo zi si ye,國子司業,Director of Studies of the Directorate of Education,中央行政官署類,寺監門,國子監 
guo zi xue lu,國子學錄,Instructor Third Class of the Directorate of Education,中央行政官署類,寺監門,國子監 
guo zi xue zheng,國子學正,Instructor Second Class of the Directorate of Education,中央行政官署類,寺監門,國子監 
guo zi zhu jiao,國子助教,Instructor of the Directorate of Education,中央行政官署類,寺監門,國子監 
zhang guo zi jian ji jiu shi,掌國子監祭酒事,,中央行政官署類,寺監門,國子監 
guo zi jian xue zheng,國子監學政,,中央行政官署類,寺監門,國子監 
guo zi jian sheng qian ting jian cheng,國子監繩愆廳監丞,,中央行政官署類,寺監門,國子監 
guo zi jian wu jing bo shi,國子監五經博士,,中央行政官署類,寺監門,國子監 
guo zi jian dian bu ting dian bu,國子監典簿廳典簿,,中央行政官署類,寺監門,國子監 
guo zi jian dian ji ting dian ji,國子監典籍廳典籍,,中央行政官署類,寺監門,國子監 
guo zi jian zhang zhuan ting zhang zhuan,國子監掌饌廳掌饌,,中央行政官署類,寺監門,國子監 
cao chang tie chang tai jian,草場貼場太監,,皇族宮廷類,宦官門 ,外差宦官
cao chang jian shu tai jian,草場僉書太監,,皇族宮廷類,宦官門 ,外差宦官
cang chang tai jian,倉場太監,,皇族宮廷類,宦官門 ,外差宦官
cai ban tai jian,採辦太監,,皇族宮廷類,宦官門 ,外差宦官
liang shui tai jian,糧稅太監,,皇族宮廷類,宦官門 ,外差宦官
kuang guan tai jian,礦關太監,,皇族宮廷類,宦官門 ,外差宦官
nanjing shou bei tai jian,南京守備太監,,皇族宮廷類,宦官門 ,外差宦官
nanjing fu shou bei tai jian,南京副守備太監,,皇族宮廷類,宦官門 ,外差宦官
tianshou shan shou bei tai jian,天壽山守備太監,,皇族宮廷類,宦官門 ,外差宦官
fengyang shou bei tai jian,鳳陽守備太監,,皇族宮廷類,宦官門 ,外差宦官
huguang chengtian fu shou bei tai jian,湖廣承天府守備太監,,皇族宮廷類,宦官門 ,外差宦官
taiyue taihe shan zhen shou tai jian,太岳太和山鎮守太監,,皇族宮廷類,宦官門 ,外差宦官
guan zhuang tai jian,管莊太監,,皇族宮廷類,宦官門 ,外差宦官
jun ying ti du tai jian,軍營提督太監,,皇族宮廷類,宦官門 ,外差宦官
jun ying zuo ying tai jian,軍營坐營太監,,皇族宮廷類,宦官門 ,外差宦官
jun ying jian qiang tai jian,軍營監槍太監,,皇族宮廷類,宦官門 ,外差宦官
nei cheng yun ku zhang yin tai jian,內承運庫掌印太監,,皇族宮廷類,宦官門 ,外差宦官
nei cheng yun ku jin si tai jian,內承運庫近侍太監,,皇族宮廷類,宦官門 ,外差宦官
nei cheng  yun ku jian shu tai jian,內承運庫僉書太監,,皇族宮廷類,宦官門 ,外差宦官
nanjing gong ying ji fang tai jian,南京供應機房太監,,皇族宮廷類,宦官門 ,外差宦官
shang lin yuan zong du tai jian,上林苑總督太監,,皇族宮廷類,宦官門 ,外差宦官
shang lin yuan qian shu tai jian,上林苑僉書太監,,皇族宮廷類,宦官門 ,外差宦官
shang lin yuan jian gong tai jian,上林苑監工太監,,皇族宮廷類,宦官門 ,外差宦官
shi bo ti du tai jian,市舶提督太監,,皇族宮廷類,宦官門 ,外差宦官
zhen shou tai jian,鎮守太監,,皇族宮廷類,宦官門 ,外差宦官
zhi zao ti du tai jian,織造提督太監,,皇族宮廷類,宦官門 ,外差宦官
zhi zao si fang tai jian,織造司房太監,,皇族宮廷類,宦官門 ,外差宦官
zhi zao shu men tai jian,織造書門太監,,皇族宮廷類,宦官門 ,外差宦官
zhi zao chang sui tai jian,織造長隨太監,,皇族宮廷類,宦官門 ,外差宦官
shi bo si fu ti ju,市舶司副提舉,Vice Supervisor of the Maritime Trade Bureau,牧盐舶政類,市舶司門,市舶提舉司
shi bo si ti ju,市舶司提舉,Supervisor of the Maritime Trade Bureau,牧盐舶政類,市舶司門,市舶提舉司
shi bo si li mu,市舶司吏目,Clerk of the Maritime Trade Bureau,牧盐舶政類,市舶司門,市舶提舉司
he bo shi,河泊使,Commissioner of Fishing Tax Office,牧盐舶政類,市舶司門,河泊所
he bo suo guan,河泊所官,Official of Fishing Tax Office,牧盐舶政類,市舶司門,河泊所
yuan ma si qing,苑馬寺卿,Minister of the Pasturage Office,牧盐舶政類,馬政門,苑馬寺
yuan ma si shao qing,苑馬寺少卿,Vice Minister of the Pasturage Office,牧盐舶政類,馬政門,苑馬寺
yuan ma si si cheng,苑馬寺寺丞,,牧盐舶政類,馬政門,苑馬寺
yuan ma si zhu bu,苑馬寺主簿,Recorder of the Pasturage Office,牧盐舶政類,馬政門,苑馬寺
yuan ma si jian zheng,苑馬寺監正,Supervisor of the Directorate of Horse Pasturages,牧盐舶政類,馬政門,苑馬寺
yuan ma si jian fu,苑馬寺監副,Vice Supervisor of the Directorates of Horse Pasturages,牧盐舶政類,馬政門,苑馬寺
yuan ma si lu shi,苑馬寺錄事,Office Manager of the Directorates of Horse Pasturages,牧盐舶政類,馬政門,苑馬寺
yuan ma si yu zhang,苑馬寺圉長,,牧盐舶政類,馬政門,苑馬寺
xing tai pu si cheng,行太僕寺丞,Acting Assistant Minister of the Court of the Imperial Stud,牧盐舶政類,馬政門,行太僕寺
xing tai pu si qing,行太僕寺卿,Acting Chief Minister of the Court of the Imperial Stud,牧盐舶政類,馬政門,行太僕寺
xing tai pu si shao qing,行太僕寺少卿,Acting Vice Minister of the Court of the Imperial Stud,牧盐舶政類,馬政門,行太僕寺
xing tai pu si zhu bu,行太僕寺主簿,Acting Recorder of the Court of the Imperial Stud,牧盐舶政類,馬政門,行太僕寺
du zhuan yun shi si tong zhi,都轉運使司同知,Associate Administrator of a Salt Distribution Commission,牧盐舶政類,鹽課鹽運門,都轉運鹽使司
du zhuan yun yan shi,都轉運鹽使,Salt Distribution Commissioner,牧盐舶政類,鹽課鹽運門,都轉運鹽使司
du zhuan yun yan shi si du zhuan yun shi,都轉運鹽使司都轉運使,Salt Distribution Commissioner in Charge of Salt T,牧盐舶政類,鹽課鹽運門,都轉運鹽使司
du zhuan yun yan shi si fu shi,都轉運鹽使司副使,Vice Salt Distribution Commissioner,牧盐舶政類,鹽課鹽運門,都轉運鹽使司
du zhuan yun yan shi si yun shi,都轉運鹽使司運使,Salt Distribution Commissioner in Charge of Salt T,牧盐舶政類,鹽課鹽運門,都轉運鹽使司
yan yun fu shi,鹽運副使,Vice Salt Distribution Commissioner,牧盐舶政類,鹽課鹽運門,都轉運鹽使司
yan yun shi,鹽運使,Salt Distribution Commissioner,牧盐舶政類,鹽課鹽運門,都轉運鹽使司
yan yun si pan guan,鹽運司判官,Administrative Assistant in a Salt Distribution Commission,牧盐舶政類,鹽課鹽運門,都轉運鹽使司
yan yun si tong zhi,鹽運司同知,Associate Administrator of a Salt Distribution Commission,牧盐舶政類,鹽課鹽運門,都轉運鹽使司
liang huai yan yun shi,兩淮鹽運使,,牧盐舶政類,鹽課鹽運門,都轉運鹽使司
he dong yan yun shi,河東鹽運使,,牧盐舶政類,鹽課鹽運門,都轉運鹽使司
liang huai yan yun shi fu shi,兩淮鹽運司副使,,牧盐舶政類,鹽課鹽運門,都轉運鹽使司
yan yun si jing li,鹽運司經歷,,牧盐舶政類,鹽課鹽運門,都轉運鹽使司
yan yun si zhi shi,鹽運司知事,,牧盐舶政類,鹽課鹽運門,都轉運鹽使司
yan yun si ku da shi,鹽運司庫大使,,牧盐舶政類,鹽課鹽運門,都轉運鹽使司
yan yun si ku fu shi,鹽運司庫副使,,牧盐舶政類,鹽課鹽運門,都轉運鹽使司
yan yun si yan chang yan ke si da shi,鹽運司鹽場鹽課司大使,,牧盐舶政類,鹽課鹽運門,都轉運鹽使司
yan yun si yan chang yan ke si fu shi,鹽運司鹽場鹽課司副使,,牧盐舶政類,鹽課鹽運門,都轉運鹽使司
yan cang da shi,鹽倉大使,,牧盐舶政類,鹽課鹽運門,都轉運鹽使司
yan camg fu shi,鹽倉副使,,牧盐舶政類,鹽課鹽運門,都轉運鹽使司
yan yun si pi yan suo da shi,鹽運司批驗所大使,,牧盐舶政類,鹽課鹽運門,都轉運鹽使司
yan yun si pi yan suo fu shi,鹽運司批驗所副使,,牧盐舶政類,鹽課鹽運門,都轉運鹽使司
yan ke ti ju si ti ju,鹽課提舉司提舉,Supervisor of a Salt Tax Office,牧盐舶政類,鹽課鹽運門,鹽課提舉司
yan ke ti ju si fu ti ju,鹽課提舉司副提舉,Vice supervisor of a Salt Tax Office,牧盐舶政類,鹽課鹽運門,鹽課提舉司
yan ke ti ju si li mu,鹽課提舉司吏目,Clerk of a Salt Tax Office,牧盐舶政類,鹽課鹽運門,鹽課提舉司
yan ke ti ju si ku da shi,鹽課提舉司庫大使,,牧盐舶政類,鹽課鹽運門,鹽課提舉司
yan ke ti ju si ku fu shi,鹽課提舉司庫副使,,牧盐舶政類,鹽課鹽運門,鹽課提舉司
yan ke ti ju si yan chang yan ke si da shi,鹽課提舉司鹽場鹽課司大使,,牧盐舶政類,鹽課鹽運門,鹽課提舉司
yan ke ti ju siyan chang yan ke si fu shi,鹽課提舉司鹽場鹽課司副使,,牧盐舶政類,鹽課鹽運門,鹽課提舉司
yan ke ti ju si yan jin yan ke si da shi,鹽課提舉司鹽井鹽課司大使,,牧盐舶政類,鹽課鹽運門,鹽課提舉司
yan ke ti ju si yan jin yan ke si fu shi,鹽課提舉司鹽井鹽課司副使,,牧盐舶政類,鹽課鹽運門,鹽課提舉司